Dışa Aktarım Tarihi:,23.06.2026 11:09:59
Toplam Kayıt Sayısı:,12120

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,16.06.2026,"3,30271",823637522.00,4685,"2720236199,08"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,16.06.2026,"12,138356",1756747.00,178,"21324021,06"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"62,77227",4033462.00,2177,"253189567,64"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,16.06.2026,"82,253273",133913420.00,182,"11014817058,28"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,889695",1337341991.00,3,"1189826724,42"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,16.06.2026,"0,098238",580059894.00,36,"56984111,84"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,16.06.2026,"3,012307",99130745.00,169,"298612213,09"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,16.06.2026,"3,068818",2478714059.00,44,"7606723216,63"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,16.06.2026,"63,927986",2090562.00,14,"133645419,08"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,16.06.2026,"3,716541",421516663.00,3617,"1566584101,37"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"3,527791",6024275.00,156,"21252383,40"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,16.06.2026,"55,20117",1302548.00,95,"71902173,35"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"5,271242",731367957.00,45,"3855217287,34"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"166,602943",15847488.00,97,"2640238142,18"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),16.06.2026,"46,521953",4150517.00,1412,"193090156,08"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,16.06.2026,"5,837199",56690443.97,1486,"330913390,47"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,16.06.2026,"12,084562",51336945.00,16,"620384491,75"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,16.06.2026,"54,500686",25302574.00,148,"1379007636,94"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,16.06.2026,"0,859808",1010679663.00,26250,"868989973,84"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,402523",3124046352.00,21671,"4381546532,22"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,16.06.2026,"109,518946",633109.28,1465,"69337460,93"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,16.06.2026,"0,161281",8318449191.00,34674,"1341603989,81"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,047141",5443539.00,419,"11143691,86"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,16.06.2026,"1,196118",4255921269.00,45496,"5090585000,71"
AFO,AK PORTFÖY ALTIN FONU,16.06.2026,"1,274653",15936183104.00,84340,"20313104424,97"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,16.06.2026,"0,30807",2456896489.00,26936,"756895042,82"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,16.06.2026,"0,991788",21487741246.00,143941,"21311274372,40"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,16.06.2026,"0,573865",2096903279.00,15009,"1203339429,31"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,16.06.2026,"8,96091",11108637.00,2440,"99543501,77"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,16.06.2026,"10,122413",21370610.00,15,"216322132,96"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),16.06.2026,"39,087252",3526875.00,2535,"137855850,61"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,16.06.2026,"66,658036",474907.00,99,"31656368,01"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,16.06.2026,"10,632653",20912767.00,579,"222358195,46"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,16.06.2026,"20,657136",5986634.00,165,"123666714,69"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,16.06.2026,"28,37087",23436880.00,12,"664924684,01"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,16.06.2026,"1,168355",58917889.00,18,"68837013,79"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"17,79867",9643754.00,4,"171645998,50"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"92,035074",4091000.00,3,"376515487,40"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"25,327136",2162287.00,1,"54764536,82"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"158,33541",8812765.00,2,"1395372761,99"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,16.06.2026,"0,100116",122827535036.00,14885,"12296998904,77"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,252774",17412387.00,88,"21813777,16"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,16.06.2026,"60,680356",82623840.00,1019,"5013644030,06"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,16.06.2026,"61,981717",2215537.00,129,"137322787,46"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,16.06.2026,"61,686962",81713122.00,1410,"5040634271,76"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,16.06.2026,"59,608517",7445562.00,301,"443818912,02"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,16.06.2026,"0,526721",361959765.00,9243,"190651750,13"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"53,074308",161929031.00,21641,"8594271202,17"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,16.06.2026,"0,508179",2066358093.00,13657,"1050080036,30"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,948081",2328945434.00,17225,"2208029246,28"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,16.06.2026,"3,724441",318546011.00,12,"1186405878,91"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,16.06.2026,"51,897714",279440741.00,2416,"14502335793,33"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,16.06.2026,"3,644321",1426593054.00,12,"5198963534,70"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,16.06.2026,"3,518453",1850389230.00,108,"6510507928,41"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,364473",5540929069.00,26309,"2019516436,40"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,16.06.2026,"12,600976",6205031984.00,145651,"78189460429,31"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,16.06.2026,"107,488435",11347626.25,2462,"1219738583,61"
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,16.06.2026,"34,958271",15637556.00,4008,"546661912,98"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,16.06.2026,"20,937741",12805566.00,174,"268119618,26"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,660786",12696809.00,223,"21086682,28"
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,16.06.2026,"0,39534",3541646757.00,39647,"1400154714,66"
AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,16.06.2026,"2,6055",287026278.00,35,"747846989,01"
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,086059",249218342.00,11,"270665818,41"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,014102",1012592.00,12,"1026871,22"
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"8,091941",107122419.00,46,"866828313,42"
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,16.06.2026,"2,478574",89906417.00,519,"222839749,02"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,16.06.2026,"6,905119",13682675.00,3068,"94480505,69"
APP,AK PORTFÖY P1 SERBEST ÖZEL FON,16.06.2026,"31,314416",6415502.00,2,"200897701,54"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,16.06.2026,"0,15366",1839123377.00,13229,"282599889,09"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,16.06.2026,"0,231221",140680988.00,1673,"32528402,77"
ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,16.06.2026,"8,256158",90349894.00,1,"745943013,66"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,16.06.2026,"15,463019",273504716.00,7731,"4229208623,96"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,16.06.2026,"18,123996",182645783.00,5452,"3310271367,75"
ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,16.06.2026,"41,973153",75563996.00,1,"3171659168,67"
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,16.06.2026,"44,899385",141805.00,38,"6366957,28"
AS3,ALLBATROSS PORTFÖY ATLAS SERBEST FON,16.06.2026,"0,795882",225848060.00,16,"179748449,39"
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"3,908018",18051183.00,817,"70544353,10"
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,16.06.2026,"22,892505",45440594.00,10,"1040249013,59"
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,16.06.2026,"1,131106",49572105.00,625,"56071296,43"
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,16.06.2026,"48,560768",16462682.00,605,"799440482,78"
AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,16.06.2026,"150,545216",1927510.00,12,"290177408,76"
AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,16.06.2026,"211,521843",18302933.00,19453,"3871470117,00"
AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,16.06.2026,"99,411954",2302470.00,1,"228893040,97"
AY6,AZİMUT PORTFÖY 26.0 SERBEST FON,16.06.2026,"1,364052",78262194.00,11,"106753671,42"
AY7,AZİMUT PORTFÖY 27.0 SERBEST FON,16.06.2026,"1,574678",157977532.00,12,"248763781,50"
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"18,96683",62694974.00,10465,"1189124934,51"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,16.06.2026,"0,130668",13183414111.00,13128,"1722656640,46"
AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,16.06.2026,"0,172761",3325162435.00,4,"574459707,89"
AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,16.06.2026,"19,282365",53102007.00,44,"1023932297,57"
AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"25,889955",167742494.00,5,"4342845628,70"
AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"61,031206",456561662.00,7,"27864508696,06"
BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,16.06.2026,"1,618289",200675856.00,25,"324751615,49"
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"5,564492",754698421.00,11,"4199513067,28"
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,16.06.2026,"0,982203",83058539.00,169,"81580353,58"
BAL,QNB PORTFÖY BALY SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"47,860485",21974290.00,1,"1051700177,22"
BAO,AZİMUT PORTFÖY BARKIN SERBEST (TL) ÖZEL FON,16.06.2026,"3,328849",37508385.00,4,"124859759,49"
BAS,İŞ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"51,612144",28610784.00,1,"1476663897,73"
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,16.06.2026,"3,353613",45813671.00,959,"153641319,47"
BBI,ALLBATROSS PORTFÖY BİANCO SERBEST (TL) FON,16.06.2026,"1,272197",679926.00,11,"864999,72"
BBN,BULLS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,621609",2300561650.00,13,"1430049912,77"
BBO,BULLS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,093887",331368445.00,11,"693848128,48"
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,16.06.2026,"2,135077",11650221.00,645,"24874122,74"
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,16.06.2026,"1,484427",801992921.00,778,"1190500234,28"
BCC,ASTRA PORTFÖY BCC SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"69,734528",41727888.00,3,"2909874584,19"
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,16.06.2026,"2,092772",78234195.00,2565,"163726325,82"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,16.06.2026,"1,704921",21369630.00,410,"36433537,00"
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,16.06.2026,"54,506616",58019607.00,565,"3162452462,49"
BDC,AURA PORTFÖY BODRUM SERBEST FON,16.06.2026,"9,065245",42266340.00,36,"383154738,24"
BDI,PARDUS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,090032",682616467.00,74,"61457557,43"
BDO,BULLS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"3,141953",1678298973.00,11,"5273135776,67"
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,364737",168431869.00,10214,"398297131,92"
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,673056",60823352.00,2402,"101760889,70"
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,16.06.2026,"1,765549",5229410.00,55,"9232779,38"
BFO,İŞ PORTFÖY BFO1 SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"51,814307",199967069.00,1,"10361155098,41"
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,16.06.2026,"0,972607",13002406.00,87,"12646225,82"
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,2296",253166061.00,550,"311292888,62"
BGH,AZİMUT PORTFÖY BGN HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,343179",470029440.00,1,"1101363071,92"
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,16.06.2026,"6,086786",9627455032.00,29954,"58600253959,60"
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,629132",45453018.00,745,"74048987,00"
BHE,AK PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,836851",20011867.00,73,"36758825,75"
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,16.06.2026,"3,125062",90498261.00,2156,"282812705,25"
BHH,PARDUS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,201883",1324756433.00,74,"267445244,23"
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,20167",611557389.00,394,"1346447365,13"
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,307053",57324086.00,888,"74925646,70"
BHN,A1 CAPİTAL PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,984495",420190405.00,42,"833865683,59"
BHO,AZİMUT PORTFÖY BİRİNCİ PY HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,171238",1224797601.00,1,"1434529423,94"
BI5,BULLS PORTFÖY BIST 50 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,571624",387605765.00,12,"609170386,06"
BIA,TRİVE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,207194",2560193.00,12,"530457,73"
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"3,401159",79396726.00,2141,"270040864,84"
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,442175",405201720.00,3574,"584371833,33"
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"7,683898",99738678.00,528,"766381796,39"
BIK,BULLS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,302832",2323018343.00,14,"3026503771,11"
