Dışa Aktarım Tarihi:,16.06.2026 19:31:42
Toplam Kayıt Sayısı:,24155

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,01.06.2026,"3,290435",870823382.00,4878,"2865387906,41"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,01.06.2026,"11,952976",1725841.00,178,"20628935,75"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"59,837145",4652004.00,2224,"278362639,04"
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,01.06.2026,"75,569652",123991359.00,167,"9369983848,38"
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"0,82056",1337341991.00,3,"1097369721,34"
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,01.06.2026,"0,096832",580059894.00,36,"56168280,34"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,01.06.2026,"2,965234",105728205.00,169,"313508883,68"
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,01.06.2026,"2,863854",2478716109.00,45,"7098682104,11"
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,01.06.2026,"64,266143",2090562.00,14,"134352355,51"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,01.06.2026,"3,649057",422385872.00,3647,"1541310164,79"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"3,487539",9760394.00,162,"34039756,09"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,01.06.2026,"54,983431",1325315.00,104,"72870365,26"
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"10,797411",540384978.00,45,"5834758534,23"
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"179,565869",14776443.00,97,"2653344825,04"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),01.06.2026,"44,294194",4165634.00,1426,"184513400,28"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,01.06.2026,"5,427015",57189216.97,1516,"310366716,10"
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,01.06.2026,"11,941496",54279290.00,16,"648175931,95"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,01.06.2026,"53,723096",25405881.00,150,"1364882589,05"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,01.06.2026,"0,855798",1070711950.00,26510,"916313146,05"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"1,207528",3161473315.00,22019,"3817566446,19"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,01.06.2026,"106,496381",661236.81,1503,"70419327,42"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,01.06.2026,"0,18127",9102551966.00,35821,"1650020017,23"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"1,967466",5279435.00,417,"10387110,41"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,01.06.2026,"1,183939",4423054182.00,45323,"5236627931,01"
AFO,AK PORTFÖY ALTIN FONU,01.06.2026,"1,323584",16384667698.00,85346,"21686484581,99"
